# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\A2560K Project\FPGA\CFP95179K\CFP95179K.csv
# Generated on: Fri Jun 18 22:28:07 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CHIPTUNE_RSTn_o,Unknown,PIN_G25,6,B6_N0,,,,,,
DCSG_CLK_o,Unknown,PIN_E26,6,B6_N1,,,,,,
DCSG_RDY_i,Unknown,PIN_D26,6,B6_N0,,,,,,
CODEC_ADC_BCLK_i,Unknown,PIN_W21,5,B5_N1,,,,,,
CODEC_ADC_DAT_i,Unknown,PIN_Y22,5,B5_N0,,,,,,
CODEC_ADC_LRCK_i,Unknown,PIN_AA23,5,B5_N2,,,,,,
CODEC_ADC_MCLK_o,Unknown,PIN_AF27,5,B5_N2,,,,,,
CODEC_DAC_BCLK_o,Unknown,PIN_AA22,5,B5_N2,,,,,,
CODEC_DAC_DAT_o,Unknown,PIN_AC24,5,B5_N2,,,,,,
CODEC_DAC_LRCK_o,Unknown,PIN_AB23,5,B5_N2,,,,,,
CODEC_DAC_MCLK_o,Unknown,PIN_AE26,5,B5_N2,,,,,,
CODEC_DI_o,Unknown,PIN_AH19,4,B4_N2,,,,,,
CODEC_CE_o,Unknown,PIN_AG19,4,B4_N2,,,,,,
CODEC_CL_o,Unknown,PIN_AF19,4,B4_N1,,,,,,
CONFIG_CSn_o,Unknown,PIN_F25,6,B6_N0,,,,,,
CONFIG_MISO_i,Unknown,PIN_D25,7,B7_N0,,,,,,
CONFIG_MOSI_o,Unknown,PIN_E25,7,B7_N1,,,,,,
CONFIG_SCLK_o,Unknown,PIN_F24,6,B6_N0,,,,,,
BLU_POWER_LED_o,Unknown,PIN_D2,1,B1_N0,,,,,,
RGB_POWER_LED_o,Unknown,PIN_E3,1,B1_N0,,,,,,
SDCARD_LED_o,Unknown,PIN_J4,1,B1_N1,,,,,,
MACHINE_ID0_i,Unknown,PIN_C2,1,B1_N0,,,,,,
MACHINE_ID1_i,Unknown,PIN_D1,1,B1_N0,,,,,,
OSC_CLK_14_318Mhz_i,Unknown,PIN_A15,7,B7_N2,,,,,,
OSC_CLK_33_333Mhz_i,Unknown,PIN_B15,7,B7_N2,,,,,,
OSC_CLK_22_579Mhz_i,Unknown,PIN_Y28,5,B5_N0,,,,,,
OSC_CLK_24_576Mhz_i,Unknown,PIN_Y27,5,B5_N0,,,,,,
OSC_CLK_25_175Mhz_i,Unknown,PIN_AG14,3,B3_N0,,,,,,
OSC_CLK_40_000Mhz_i,Unknown,PIN_AH14,3,B3_N0,,,,,,
OSC_CLK_65_000Mhz_i,Unknown,PIN_AG15,4,B4_N2,,,,,,
DBG_RX_i,Unknown,PIN_AH10,3,B3_N1,,,,,,
DBG_TX_o,Unknown,PIN_AG10,3,B3_N1,,,,,,
F_SD_CD_i,Unknown,PIN_F1,1,B1_N1,,,,,,
F_SD_CLK_o,Unknown,PIN_F2,1,B1_N1,,,,,,
F_SD_CMD_o,Unknown,PIN_G6,1,B1_N0,,,,,,
F_SD_DAT0_io,Unknown,PIN_F3,1,B1_N0,,,,,,
F_SD_DAT1_io,Unknown,PIN_F5,1,B1_N0,,,,,,
F_SD_DAT2_io,Unknown,PIN_G4,1,B1_N0,,,,,,
F_SD_DAT3_io,Unknown,PIN_G5,1,B1_N0,,,,,,
F_SD_WP_i,Unknown,PIN_E1,1,B1_N0,,,,,,
DIP_CSn_o,Unknown,PIN_AC18,4,B4_N1,,,,,,
ETH_CSn_o,Unknown,PIN_AD19,4,B4_N0,,,,,,
ETH_FIFO_SEL_o,Unknown,PIN_AE20,4,B4_N1,,,,,,
ETH_IRQn_i,Unknown,PIN_AG21,4,B4_N2,,,,,,
ETH_RSTn_o,Unknown,PIN_AH22,4,B4_N1,,,,,,
IDE_CS0n_o,Unknown,PIN_AB22,4,B4_N0,,,,,,
IDE_CS1n_o,Unknown,PIN_Y19,4,B4_N0,,,,,,
IDE_DATA_DIR_o,Unknown,PIN_AF25,4,B4_N1,,,,,,
IDE_DATA_OEn_o,Unknown,PIN_AG26,4,B4_N0,,,,,,
IDE_INTRQ_i,Unknown,PIN_AF26,4,B4_N1,,,,,,
IDE_IORDY_i,Unknown,PIN_AA21,4,B4_N0,,,,,,
IDE_RESETn_o,Unknown,PIN_AB21,4,B4_N0,,,,,,
IO_A_io[0],Unknown,PIN_AD25,4,B4_N0,,,,,,
IO_A_io[1],Unknown,PIN_AE25,4,B4_N1,,,,,,
IO_A_io[2],Unknown,PIN_AD24,4,B4_N0,,,,,,
IO_A_io[3],Unknown,PIN_AF21,4,B4_N1,,,,,,
IO_A_io[4],Unknown,PIN_AG22,4,B4_N1,,,,,,
IO_A_io[5],Unknown,PIN_AH23,4,B4_N1,,,,,,
IO_A_io[6],Unknown,PIN_AE19,4,B4_N1,,,,,,
IO_A_io[7],Unknown,PIN_AF20,4,B4_N1,,,,,,
IO_D_io[0],Unknown,PIN_AA19,4,B4_N0,,,,,,
IO_D_io[1],Unknown,PIN_AC21,4,B4_N0,,,,,,
