P28,SYSRAM_DQ31,IO_250/C\E\O\
M27,SYSRAM_DQM0,IO_235
M28,SYSRAM_DQM1,IO_236
W27,SYSRAM_DQM2,IO_316
R23,SYSRAM_DQM3,IO_260
V24,SYSRAM_R\A\S\,IO_301
W28,SYSRAM_W\E\,IO_317
E21,USER0,IO_100
F21,USER1,IO_122
G23,VClock_Slct_DIN,IO_151
H23,VClock_Slct_S\Y\N\C\0\,IO_173
J24,VClock_Slct_S\Y\N\C\1\,IO_192
J23,VClock_Slct_SCLK,IO_191
AE23,VID_A_CLK_P,IO_450/PLL4_CLKp
AA17,VID_A_DE,IO_348
AA16,VID_A_HP_I\N\T\1\,IO_347
Y17,VID_A_HSYNC,IO_329
AH17,VID_A_PIX0,IO_506
AG17,VID_A_PIX1,IO_490
AF17,VID_A_PIX2,IO_471
AB17,VID_A_PIX3,IO_372
AC17,VID_A_PIX4,IO_396
AD17,VID_A_PIX5,IO_418
AE17,VID_A_PIX6,IO_444
AH18,VID_A_PIX7,IO_507
AG18,VID_A_PIX8,IO_491
AF18,VID_A_PIX9,IO_472
AD18,VID_A_PIX10,IO_419
AE18,VID_A_PIX11,IO_445
Y16,VID_A_R\S\T\,IO_328
Y14,VID_A_SPC,IO_326
AE14,VID_A_SPD,IO_441
AB16,VID_A_VSYNC,IO_371
AE5,VID_B_CLK_P,IO_432/PLL1_CLKp
AH11,VID_B_DE,IO_504
AG11,VID_B_HP_I\N\T\1\,IO_488
AD14,VID_B_HSYNC,IO_416
AF12,VID_B_PIX0,IO_466
AG12,VID_B_PIX1,IO_489
AH12,VID_B_PIX2,IO_505
AF14,VID_B_PIX3,IO_468
AA15,VID_B_PIX4,IO_346
AB15,VID_B_PIX5,IO_370
AC15,VID_B_PIX6,IO_395
AF15,VID_B_PIX7,IO_469
AE15,VID_B_PIX8,IO_442
AD15,VID_B_PIX9,IO_417
AF16,VID_B_PIX10,IO_470
AE16,VID_B_PIX11,IO_443
AF11,VID_B_R\S\T\,IO_465
AB14,VID_B_VSYNC,IO_369
B14,VideoClock_Out_A,CLK11
A14,VideoClock_Out_B,CLK10
T8,VRAM_A_A0,IO_269
T7,VRAM_A_A1,IO_268
T4,VRAM_A_A2,IO_267
R7,VRAM_A_A3,IO_257
R6,VRAM_A_A4,IO_256
R2,VRAM_A_A5,IO_252
R3,VRAM_A_A6,IO_253
R4,VRAM_A_A7,IO_254
R5,VRAM_A_A8,IO_255
AB6,VRAM_A_A9,IO_361
AC2,VRAM_A_A10,IO_385
AC4,VRAM_A_A11,IO_387
AD1,VRAM_A_A12,IO_406
AD3,VRAM_A_A13,IO_408
AE2,VRAM_A_A14,IO_429
AE1,VRAM_A_A15,IO_428
AD2,VRAM_A_A16,IO_407
AC5,VRAM_A_A17,IO_388
AC3,VRAM_A_A18,IO_386
AC1,VRAM_A_A19,IO_384
U8,VRAM_A_DQ0,IO_281
V6,VRAM_A_DQ1,IO_295
V8,VRAM_A_DQ2,IO_297
W8,VRAM_A_DQ3,IO_311
Y6,VRAM_A_DQ4,IO_321
AA4,VRAM_A_DQ5,IO_337
AA6,VRAM_A_DQ6,IO_339
AB4,VRAM_A_DQ7,IO_359
AB3,VRAM_A_DQ8,IO_358
AB1,VRAM_A_DQ9,IO_356
Y4,VRAM_A_DQ10,IO_319
W4,VRAM_A_DQ11,IO_309
U4,VRAM_A_DQ12,IO_277
W2,VRAM_A_DQ13,IO_307
V4,VRAM_A_DQ14,IO_293
V2,VRAM_A_DQ15,IO_291
T3,VRAM_A_DQ16,IO_266
V1,VRAM_A_DQ17,IO_290
V3,VRAM_A_DQ18,IO_292
W1,VRAM_A_DQ19,IO_306
W3,VRAM_A_DQ20,IO_308
Y3,VRAM_A_DQ21,IO_318
AA3,VRAM_A_DQ22,IO_336
AB2,VRAM_A_DQ23,IO_357
AA7,VRAM_A_DQ24,IO_340
AA5,VRAM_A_DQ25,IO_338
Y7,VRAM_A_DQ26,IO_322
Y5,VRAM_A_DQ27,IO_320
W7,VRAM_A_DQ28,IO_310
V7,VRAM_A_DQ29,IO_296
V5,VRAM_A_DQ30,IO_294
U7,VRAM_A_DQ31,IO_280
U3,VRAM_A_DQM0,IO_276
U2,VRAM_A_DQM1,IO_275
U6,VRAM_A_DQM2,IO_279
U5,VRAM_A_DQM3,IO_278
U1,VRAM_A_O\E\,IO_274
AB5,VRAM_A_W\E\,IO_360
AG3,VRAM_B_A0,IO_482
AF4,VRAM_B_A1,IO_458
AF3,VRAM_B_A2,IO_457
AF2,VRAM_B_A3,IO_456
AE3,VRAM_B_A4,IO_430
AH4,VRAM_B_A5,IO_499
AH6,VRAM_B_A6,IO_500
AG6,VRAM_B_A7,IO_484
AG7,VRAM_B_A8,IO_485
Y12,VRAM_B_A9,IO_324
